pipeline bioinfo_tool qc_metric_name
BALSAMIC fastqc fastqc
BALSAMIC cutadapt cutadapt
BALSAMIC gatk3_8 ContEst
BALSAMIC picard CollectHsMetrics
BALSAMIC picard CollectInsertSizeMetrics
BALSAMIC picard CollectAlignmentSummaryMetrics
BALSAMIC picard MarkDuplicates
MIP fastqc fastqc
MIP picard CollectHsMetrics
MIP picard CollectInsertSizeMetrics
MIP picard CollectAlignmentSummaryMetrics
MIP picard MarkDuplicates
microSALT quast report
microSALT quast kmers_report
microSALT quast reads_report
microSALT quast unaligned_report
microSALT quast misassemblies_report
